Education_System,Bottom Average score,Bottom s.e.,Second Average score,Second s.e.,Third Average score,Third s.e.,Top Average score,Top s.e.,All Average score,All s.e.
OECD average             ,460,0.6,490,0.5,514,0.6,548,0.6,501,0.5
Albania                  ,?,?,?,?,?,?,?,?,397,2.4
Argentina                ,368,4.2,395,4.2,414,4.7,454,4.2,406,3.9
Australia                ,479,2.3,510,2.1,541,2.7,567,2.6,521,1.8
Austria                  ,456,4.2,496,3.8,519,3.5,556,3.7,506,2.7
Belgium                  ,451,3.6,489,3.3,528,2.3,562,2.7,505,2.2
Brazil                   ,375,2.2,391,2.4,410,2.9,448,4.2,405,2.1
Bulgaria                 ,385,5.5,431,4.2,459,5.5,515,5.7,446,4.8
Canada                   ,496,2.4,519,2.3,535,2.2,563,2.8,525,1.9
Chile                    ,404,3.6,431,3.4,451,2.8,496,4.4,445,2.9
Chinese Taipei           ,480,3.4,515,2.6,532,2.8,569,2.8,523,2.3
Colombia                 ,368,4.7,387,3.2,403,3.1,437,4.5,399,3.1
Costa Rica               ,395,3.9,418,3.6,437,3.5,470,4.3,429,2.9
Croatia                  ,462,3.5,482,3.5,492,4.2,531,4.7,491,3.1
Cyprus                   ,397,2.5,427,2.3,446,2.7,492,3.2,438,1.2
Czech Republic           ,465,5.2,499,4.4,519,3.4,554,3.7,508,3.0
Denmark                  ,454,4.0,487,2.9,516,3.0,545,3.7,498,2.7
Estonia                  ,520,3.0,528,3.0,544,3.0,578,2.9,541,1.9
Finland                  ,514,3.6,538,2.6,557,3.1,581,3.0,545,2.2
France                   ,445,4.0,481,3.6,515,3.5,565,3.7,499,2.6
Germany                  ,478,5.0,516,3.6,552,4.0,576,3.7,524,3.0
Greece                   ,427,4.1,455,4.1,476,3.6,512,3.7,467,3.1
Hong Kong-China          ,531,4.2,551,3.1,561,3.0,584,4.5,555,2.6
Hungary                  ,443,4.8,482,3.7,505,3.1,553,4.2,494,2.9
Iceland                  ,448,3.3,465,3.6,494,3.6,515,4.1,478,2.1
Indonesia                ,365,4.0,371,3.8,381,4.1,412,6.5,382,3.8
Ireland                  ,479,4.0,508,3.0,537,2.9,568,3.2,522,2.5
Israel                   ,417,5.6,456,5.0,492,5.3,528,5.3,470,5.0
Italy                    ,456,2.6,484,2.3,507,2.3,529,2.2,494,1.9
Japan                    ,515,5.1,541,3.8,560,4.1,581,5.3,547,3.6
Jordan                   ,386,3.5,399,3.0,421,3.7,441,5.5,409,3.1
Kazakhstan               ,393,3.8,422,3.8,433,3.4,451,3.8,425,3.0
"Korea, Republic of       ",512,3.7,527,3.6,547,4.1,566,5.2,538,3.7
Latvia                   ,471,4.1,486,3.9,517,3.4,539,4.0,502,2.8
Liechtenstein            ,480,7.5,541,9.9,531,10.5,555,10.6,525,3.5
Lithuania                ,461,3.8,483,3.5,507,2.9,534,3.4,496,2.6
Luxembourg               ,431,3.1,473,2.6,515,2.8,551,3.0,491,1.3
Macao-China              ,509,2.3,518,2.1,522,1.9,536,2.7,521,0.8
Malaysia                 ,391,3.0,410,3.3,420,3.6,459,4.3,420,3.0
Mexico                   ,387,1.8,408,1.7,419,1.7,446,1.9,415,1.3
"Montenegro, Republic of  ",377,2.2,402,2.6,415,2.6,453,2.6,410,1.1
Netherlands              ,480,4.7,512,3.6,539,4.3,566,5.4,522,3.5
New Zealand              ,458,3.7,511,3.5,532,3.2,577,3.5,516,2.1
Norway                   ,462,4.9,487,3.7,511,3.3,529,4.1,495,3.1
Peru                     ,328,3.4,359,2.8,386,3.3,421,5.6,373,3.6
Poland                   ,488,3.8,511,3.2,533,3.6,574,4.5,526,3.1
Portugal                 ,444,4.5,479,4.2,500,3.5,543,3.4,489,3.7
Qatar                    ,344,1.6,386,1.9,409,2.1,408,2.4,384,0.7
Romania                  ,404,3.4,425,3.1,440,3.5,489,5.5,439,3.3
Russian Federation       ,444,4.1,474,3.3,502,3.2,528,4.9,486,2.9
"Serbia, Republic of      ",417,4.1,434,3.9,446,4.4,484,4.5,445,3.4
Shanghai-China           ,538,4.7,572,3.3,593,3.3,618,3.9,580,3.0
Singapore                ,499,3.0,535,3.0,566,2.7,608,3.1,551,1.5
Slovak Republic          ,405,5.3,463,4.1,487,3.7,535,4.9,471,3.6
Slovenia                 ,474,2.4,501,3.1,524,2.6,562,3.0,514,1.3
Spain                    ,458,2.6,486,2.2,509,2.3,539,2.3,496,1.8
Sweden                   ,448,3.8,476,3.8,503,4.0,528,4.1,485,3.0
Switzerland              ,469,3.5,505,3.0,528,3.2,562,3.2,515,2.7
Thailand                 ,426,3.9,431,2.7,441,2.9,479,5.1,444,2.9
Tunisia                  ,374,4.0,386,3.7,405,3.7,431,6.2,398,3.5
Turkey                   ,437,3.7,456,3.6,461,4.4,501,5.7,463,3.9
United Arab Emirates     ,407,2.8,441,2.7,469,3.6,480,5.0,448,2.8
United Kingdom           ,473,3.8,499,4.0,530,3.9,568,3.6,514,3.4
United States            ,456,3.9,480,3.9,511,3.7,548,4.5,497,3.8
Uruguay                  ,371,3.4,397,3.8,421,3.5,478,4.8,416,2.8
Vietnam                  ,500,5.5,519,4.5,534,4.1,561,6.0,528,4.3
,,,,,,,,,,
,,,,,,,,,,
